	VideoNum	Duration	Fulltitle	Id	View_count	Format	Format_id	Format_note	Filesize	Acodec	Vcodec	Tbr	Abr	Ext	Container	Width	Height	Fps	Manifest_url	Fragments
6231	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	249 - audio only (DASH audio)	249	DASH audio	1264195	opus	none	68.612	50	webm	0	0	0	0	0	0
6232	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	250 - audio only (DASH audio)	250	DASH audio	1644284	opus	none	86.085	70	webm	0	0	0	0	0	0
6233	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	140 - audio only (DASH audio)	140	DASH audio	2952824	mp4a.40.2	none	127.948	128	m4a	m4a_dash	0	0	0	0	0
6234	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	171 - audio only (DASH audio)	171	DASH audio	3032732	vorbis	none	142.463	128	webm	0	0	0	0	0	0
6235	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	251 - audio only (DASH audio)	251	DASH audio	3178392	opus	none	151.725	160	webm	0	0	0	0	0	0
6236	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	278 - 256x144 (144p)	278	144p	2163632	none	vp9	96.223	0	webm	webm	256	144	24	0	0
6237	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	160 - 256x144 (144p)	160	144p	2265409	none	avc1.4d400c	112.34100000000001	0	mp4	0	256	144	24	0	0
6238	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	242 - 426x240 (240p)	242	240p	4384659	none	vp9	218.989	0	webm	0	426	240	24	0	0
6239	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	133 - 426x240 (240p)	133	240p	5054863	none	avc1.4d4015	302.186	0	mp4	0	426	240	24	0	0
6240	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	243 - 640x360 (360p)	243	360p	8194933	none	vp9	406.21	0	webm	0	640	360	24	0	0
6241	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	134 - 640x360 (360p)	134	360p	11134857	none	avc1.4d401e	689.227	0	mp4	0	640	360	24	0	0
6242	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	244 - 854x480 (480p)	244	480p	14884069	none	vp9	759.0110000000001	0	webm	0	854	480	24	0	0
6243	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	135 - 854x480 (480p)	135	480p	22289278	none	avc1.4d401e	1321.974	0	mp4	0	854	480	24	0	0
6244	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	247 - 1280x720 (720p)	247	720p	27695261	none	vp9	1504.8129999999999	0	webm	0	1280	720	24	0	0
6245	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	136 - 1280x720 (720p)	136	720p	36898706	none	avc1.4d401f	2250.129	0	mp4	0	1280	720	24	0	0
6246	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	248 - 1920x1080 (1080p)	248	1080p	44526954	none	vp9	2638.7329999999997	0	webm	0	1920	1080	24	0	0
6247	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	137 - 1920x1080 (1080p)	137	1080p	55350974	none	avc1.640028	3361.762	0	mp4	0	1920	1080	24	0	0
6248	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	17 - 176x144 (small)	17	small	1830995	mp4a.40.2	mp4v.20.3	0.0	24	3gp	0	176	144	0	0	0
6249	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	36 - 320x180 (small)	36	small	5148453	mp4a.40.2	mp4v.20.3	0.0	0	3gp	0	320	180	0	0	0
6250	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	18 - 640x360 (medium)	18	medium	15724594	mp4a.40.2	avc1.42001E	0.0	96	mp4	0	640	360	0	0	0
6251	302	186	J Balvin  Willy William - Mi Gente (Official Video)	wnJ6LuUFpMo	1933025628	43 - 640x360 (medium)	43	medium	20809122	vorbis	vp8.0	0.0	128	webm	0	640	360	0	0	0
453657	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	249 - audio only (DASH audio)	249	DASH audio	681098	opus	none	51.326	50	webm	0	0	0	0	0	0
453658	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	250 - audio only (DASH audio)	250	DASH audio	891553	opus	none	67.021	70	webm	0	0	0	0	0	0
453659	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	171 - audio only (DASH audio)	171	DASH audio	1511998	vorbis	none	113.959	128	webm	0	0	0	0	0	0
453660	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	140 - audio only (DASH audio)	140	DASH audio	1930224	mp4a.40.2	none	127.83200000000001	128	m4a	m4a_dash	0	0	0	0	0
453661	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	251 - audio only (DASH audio)	251	DASH audio	1778022	opus	none	128.665	160	webm	0	0	0	0	0	0
453662	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	278 - 256x144 (144p)	278	144p	1266066	none	vp9	96.389	0	webm	webm	256	144	25	0	0
453663	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	160 - 256x144 (144p)	160	144p	804020	none	avc1.4d400c	110.815	0	mp4	0	256	144	25	0	0
453664	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	242 - 426x240 (240p)	242	240p	1985502	none	vp9	221.176	0	webm	0	426	240	25	0	0
453665	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	133 - 426x240 (240p)	133	240p	1536728	none	avc1.4d4015	245.415	0	mp4	0	426	240	25	0	0
453666	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	243 - 640x360 (360p)	243	360p	3631876	none	vp9	407.11400000000003	0	webm	0	640	360	25	0	0
453667	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	134 - 640x360 (360p)	134	360p	3498167	none	avc1.4d401e	553.815	0	mp4	0	640	360	25	0	0
453668	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	244 - 854x480 (480p)	244	480p	6117871	none	vp9	757.025	0	webm	0	854	480	25	0	0
453669	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	135 - 854x480 (480p)	135	480p	6756576	none	avc1.4d401e	1015.701	0	mp4	0	854	480	25	0	0
453670	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	247 - 1280x720 (720p)	247	720p	12408642	none	vp9	1477.375	0	webm	0	1280	720	25	0	0
453671	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	136 - 1280x720 (720p)	136	720p	12288995	none	avc1.4d401f	1668.2320000000002	0	mp4	0	1280	720	25	0	0
453672	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	17 - 176x144 (small)	17	small	1226886	mp4a.40.2	mp4v.20.3	0.0	24	3gp	0	176	144	0	0	0
453673	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	36 - 320x180 (small)	36	small	3450884	mp4a.40.2	mp4v.20.3	0.0	0	3gp	0	320	180	0	0	0
453674	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	18 - 640x360 (medium)	18	medium	7087314	mp4a.40.2	avc1.42001E	0.0	96	mp4	0	640	360	0	0	0
453675	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	43 - 640x360 (medium)	43	medium	9266788	vorbis	vp8.0	0.0	128	webm	0	640	360	0	0	0
